"uf","br","acidentes","mortos","percentual_letalidade"
"AC","0","3","0","0"
"AC","307","5","0","0"
"AC","317","52","11","9.57"
"AC","364","220","18","3.18"
"AL","101","254","31","4.67"
"AL","104","130","16","4.75"
"AL","110","1","0","0"
"AL","316","177","27","5.47"
"AL","416","13","6","27.27"
"AL","423","39","10","9.62"
"AL","424","15","6","15"
"AM","0","4","0","0"
"AM","174","73","9","4.29"
"AM","230","24","0","0"
"AM","317","1","1","33.33"
"AM","319","36","16","16.84"
"AP","0","1","0","0"
"AP","156","57","0","0"
"AP","210","111","14","4.52"
"BA","20","48","10","5.78"
"BA","30","4","2","25"
"BA","101","956","153","5.88"
"BA","110","210","50","8.2"
"BA","116","1038","126","4.32"
"BA","135","58","20","8.2"
"BA","235","76","16","8.38"
"BA","242","256","69","7.45"
"BA","324","942","63","2.54"
"BA","330","49","6","4.48"
"BA","349","52","16","8.65"
"BA","367","137","5","1.53"
"BA","407","127","24","6.86"
"BA","410","26","2","2.99"
"BA","415","63","4","2.3"
"BA","418","37","7","6.48"
"BA","420","28","10","14.93"
"BA","430","1","0","0"
"CE","0","3","0","0"
"CE","20","132","15","4.46"
"CE","116","707","72","3.79"
"CE","122","2","0","0"
"CE","222","359","51","5.34"
"CE","226","7","5","22.73"
"CE","230","22","13","22.81"
"CE","304","51","3","2.7"
"CE","402","13","9","16.98"
"CE","403","6","3","23.08"
"DF","0","6","0","0"
"DF","20","348","10","1.1"
"DF","40","124","2","0.74"
"DF","60","121","9","3.19"
"DF","70","285","8","1.13"
"DF","80","68","11","6.47"
"DF","251","59","7","5.19"
"ES","0","7","0","0"
"ES","101","2084","123","2.37"
"ES","259","123","9","3.25"
"ES","262","382","26","2.52"
"ES","393","37","1","1.41"
"ES","447","8","2","11.76"
"ES","484","1","0","0"
"GO","0","12","0","0"
"GO","20","170","34","5.9"
"GO","40","335","25","3.06"
"GO","50","159","14","3.17"
"GO","60","803","52","2.7"
"GO","70","210","28","5.2"
"GO","80","78","8","3.98"
"GO","153","973","91","3.32"
"GO","158","41","7","6.31"
"GO","251","12","0","0"
"GO","364","137","15","4.45"
"GO","414","161","25","6.08"
"GO","452","105","9","2.56"
"MA","0","1","0","0"
"MA","10","221","46","7.71"
"MA","135","390","49","4.61"
"MA","222","152","46","11.65"
"MA","226","104","24","7.77"
"MA","230","119","24","7.97"
"MA","316","244","72","11.13"
"MA","330","5","9","32.14"
"MA","402","26","11","16.42"
"MG","0","8","0","0"
"MG","40","1972","153","2.9"
"MG","50","592","28","2.09"
"MG","116","1412","124","3.27"
"MG","146","55","3","2.01"
"MG","153","269","28","3.62"
"MG","251","271","51","4.45"
"MG","262","1095","101","3.52"
"MG","265","2","0","0"
"MG","267","130","11","2.98"
"MG","354","96","2","0.93"
"MG","356","53","3","2.4"
"MG","364","45","2","1.79"
"MG","365","600","87","4.84"
"MG","381","2845","158","2.12"
"MG","459","125","14","4.39"
"MS","0","3","0","0"
"MS","60","157","14","3.26"
"MS","158","133","15","4.1"
"MS","163","781","47","2.26"
"MS","262","285","41","4.89"
"MS","267","145","16","4.12"
"MS","359","6","1","4.76"
"MS","376","62","5","3.45"
"MS","419","11","1","3.7"
"MS","436","5","0","0"
"MS","463","60","8","5.48"
"MS","487","6","2","10.53"
"MT","0","3","0","0"
"MT","70","589","50","3.1"
"MT","158","119","25","7.46"
"MT","163","969","84","3.15"
"MT","174","205","24","4.63"
"MT","242","1","0","0"
"MT","364","750","60","2.89"
"PA","0","12","0","0"
"PA","10","158","39","8.25"
"PA","153","8","4","19.05"
"PA","155","55","8","5.1"
"PA","158","1","0","0"
"PA","163","261","40","6.2"
"PA","222","37","21","20.79"
"PA","230","280","55","7.12"
"PA","308","34","10","10.31"
"PA","316","271","47","6"
"PB","0","5","0","0"
"PB","101","509","30","2.62"
"PB","104","169","18","4.63"
"PB","110","1","0","0"
"PB","116","11","0","0"
"PB","230","1191","75","2.64"
"PB","361","36","6","6.45"
"PB","405","15","1","3.13"
"PB","412","28","10","12.2"
"PB","426","1","0","0"
"PB","427","12","2","7.41"
"PE","0","9","0","0"
"PE","101","1130","68","2.52"
"PE","104","203","24","4.85"
"PE","110","15","2","5.26"
"PE","116","48","6","5.26"
"PE","232","830","105","4.83"
"PE","316","96","19","6.19"
"PE","407","119","9","3.13"
"PE","408","141","24","7.64"
"PE","423","144","49","11.86"
"PE","424","76","17","8.72"
"PE","428","202","13","2.63"
"PI","0","2","0","0"
"PI","20","1","0","0"
"PI","135","111","36","9.07"
"PI","222","33","10","14.29"
"PI","230","88","16","8.33"
"PI","235","4","1","12.5"
"PI","316","448","36","3.32"
"PI","343","742","51","2.9"
"PI","402","24","3","6.12"
"PI","407","37","15","15.63"
"PR","0","13","0","0"
"PR","116","1113","47","1.67"
"PR","153","402","43","4.26"
"PR","158","99","12","4.58"
"PR","163","373","34","3.79"
"PR","272","53","12","6.94"
"PR","277","2157","152","2.47"
"PR","280","22","2","2.44"
"PR","369","915","72","2.96"
"PR","373","231","39","6.37"
"PR","376","1700","116","2.65"
"PR","467","27","1","1.85"
"PR","469","55","0","0"
"PR","476","427","55","4.95"
"PR","487","43","8","6.02"
"RJ","0","23","0","0"
"RJ","40","1071","34","1.39"
"RJ","101","2415","138","2.3"
"RJ","116","1798","95","2.12"
"RJ","354","6","0","0"
"RJ","356","142","8","2.24"
"RJ","393","320","28","3.08"
"RJ","465","250","4","0.71"
"RJ","485","2","0","0"
"RJ","493","369","23","2.75"
"RJ","495","32","0","0"
"RN","0","6","0","0"
"RN","101","705","25","1.51"
"RN","110","112","8","3.21"
"RN","226","177","21","4.83"
"RN","304","398","25","2.73"
"RN","405","82","21","11.6"
"RN","406","127","7","2.39"
"RN","427","40","4","5.41"
"RN","437","1","0","0"
"RO","0","4","0","0"
"RO","174","56","1","0.79"
"RO","319","128","4","1.26"
"RO","364","1112","78","2.46"
"RO","421","23","1","2.04"
"RO","425","32","2","2.63"
"RO","429","28","7","10.77"
"RO","435","69","9","5.56"
"RR","0","1","0","0"
"RR","174","81","14","4.56"
"RR","210","1","1","50"
"RR","401","35","8","7.21"
"RR","431","1","0","0"
"RR","432","23","5","7.46"
"RS","0","17","0","0"
"RS","101","137","7","1.95"
"RS","116","1317","63","1.96"
"RS","153","135","6","1.74"
"RS","158","255","22","3.31"
"RS","285","408","33","2.97"
"RS","287","120","10","3.12"
"RS","290","768","40","1.86"
"RS","293","110","16","5.1"
"RS","386","623","60","3.15"
"RS","392","364","26","2.93"
"RS","448","86","2","1.02"
"RS","468","45","7","5.38"
"RS","470","322","22","2.59"
"RS","471","81","5","2.2"
"RS","472","104","8","3.01"
"RS","480","7","0","0"
"SC","0","10","0","0"
"SC","101","4222","147","1.48"
"SC","116","328","23","2.39"
"SC","153","71","10","5.21"
"SC","158","35","1","1.04"
"SC","163","135","5","1.42"
"SC","280","880","44","2.02"
"SC","282","1379","100","2.63"
"SC","285","2","0","0"
"SC","470","1066","101","3.66"
"SC","480","58","3","2.27"
"SE","0","2","0","0"
"SE","101","346","30","3.64"
"SE","235","241","21","3.68"
"SP","0","9","0","0"
"SP","101","256","8","1.25"
"SP","116","3249","152","1.87"
"SP","153","449","25","2.14"
"SP","262","7","1","5.88"
"SP","381","651","32","2.13"
"SP","459","29","2","3.28"
"SP","488","33","1","1.27"
"TO","0","3","0","0"
"TO","10","127","10","2.94"
"TO","153","482","75","5.66"
"TO","226","9","1","3.7"
"TO","230","21","9","10.23"
"TO","235","9","3","13.04"
"TO","242","26","4","6.06"
