COUNT de id,acidentes_fatais,,total,porcentagem de fatalidade,,,COUNT de id,curva_reta,,,"Hipótese: acidentes em trechos com curva apresentam maior proporção de fatalidade do que acidentes em retas.
Indicador: Taxa de acidentes fatais por tipo de traçado da via.
Como provar: comparar acidentes fatais ÷ total de acidentes entre trechos retos e curvas."
tipo_pista,1,0,,,,,acidentes_fatais,Reta,Outro,Curva,
Simples,3424,31309,34733,"9,858060058",,,0,6000,702,2052,
Dupla,1501,29281,30782,"4,876226366",,,1,894,43,308,
Múltipla,285,6729,7014,"4,063301967",,,total,6894,745,2360,
,,,,,,,porcentagem,"12,96779809",,"13,05084746",
"Hipótese: vias de pista simples são mais perigosas que vias duplas/múltiplas.
Indicador: Taxa de acidentes fatais por tipo de pista.
Como provar: comparar fatais ÷ total de acidentes em cada tipo de pista.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
COUNT de id,fase_dia,,,,,,,,,,
acidentes_fatais,Pleno dia,Plena Noite,Anoitecer,Amanhecer,noite,dia,,,,,
0,38326,22259,3673,3061,2775,2435,,,,,
1,2049,2522,253,386,,,,,,,
,,,,,,,,,,,
"Hipótese: acidentes ocorridos durante a noite apresentam maior proporção de fatalidade do que acidentes ocorridos durante o dia.
Indicador: Taxa de acidentes fatais por fase do dia.
Como provar: comparar acidentes fatais ÷ total de acidentes entre as diferentes fases do dia.",,,,,,,,,,,
,,,,,,,,,,,
COUNT de id,condicao_metereologica,,,,,,,,,,
acidentes_fatais,Vento,Sol,Nublado,Nevoeiro/Neblina,Neve,Ignorado,Garoa/Chuvisco,Chuva,Céu Claro,,
0,95,3954,10605,493,1,901,2278,6036,42956,,
1,9,247,830,60,,99,144,402,3419,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Hipótese:       Acidentes ocorridos durante a madrugada e a noite apresentam maior risco de serem fatais do que acidentes ocorridos durante o dia.
Indicador:        Percentual de acidentes fatais por período crítico.
Como provar:        Comparar, na tabela dinâmica, a quantidade de acidentes fatais em relação ao total de acidentes em cada período.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
causa_acidente,total_acidentes,acidentes_fatais,mortos,,,,,,,,
Acessar a via sem observar a presença dos outros veículos,7097,394,421,,,,,,,,
Acesso irregular,768,42,43,,,,,,,,
Acostamento em desnível,167,9,9,,,,,,,,
Acumulo de água sobre o pavimento,477,16,23,,,,,,,,
Acumulo de areia ou detritos sobre o pavimento,308,5,7,,,,,,,,
Acumulo de óleo sobre o pavimento,228,3,5,,,,,,,,
Afundamento ou ondulação no pavimento,206,12,14,,,,,,,,
Animais na Pista,1305,72,78,,,,,,,,
